ENELEXT.ENEL_LIQ_FINAL_ASESOR;0
ENELEXT.ENEL_FACTOPE_FINAL_EOSC;1972632
ENELEXT.ENEL_FACTTF_PORTADA;72312
ENELEXT.ENEL_MEDIDAS_TEMP_CETF;1470
ENELEXT.ENEL_MEDIDAS_TEMP_CETVTA;8585
ENELEXT.ENEL_PAGOS_RESUMEN_TF;111
ENELEXT.ENEL_COMP_E4E_CESP;155
ENELEXT.ENEL_CUADRELIQ_FINAL_CES;81737
ENELEXT.ENEL_DEBUG;4410341
ENELEXT.ENEL_TXN_DTM_TEMP;6780932
ENELEXT.ENEL_E4E_INF_ALIADOS;0
ENELEXT.ENEL_RENOVACION_ALIADOS;41
ENELEXT.ENEL_E4E_NEGATIVOS_PTG;4
ENELEXT.ENEL_TM2_CCDD;0
ENELEXT.ENEL_LIQSCAWEB_FINAL_LEADS_WBE_ALIADOS;14
ENELEXT.ENEL_LIQSCAWEB_FINAL_LEADS_WBE_CCDD;1
ENELEXT.ENEL_E4E_INF_TF;7
ENELEXT.ENEL_E4E_CONTRATOS_TEMP_CCDD;5083
ENELEXT.ENEL_EQUIPAMIENTO_TEMP_CETF;493
ENELEXT.ENEL_ANDROMEDA_TXN_TEMP;0
ENELEXT.ENEL_INCEN_TEMP;34560
ENELEXT.ENEL_PDS_TEMP;669
ENELEXT.ENEL_PDS_TEMP_OFV;1
ENELEXT.ENEL_DEPOSIT_TEMP;63
ENELEXT.ENEL_E4E_CONTRATOS_TEMP_CESP;5079
ENELEXT.ENEL_E4E_CONTRATOS_TEMP_CETVTA;5079
ENELEXT.ENEL_E4E_DEPOSIT_CAT_TVTA_TEMP;63
ENELEXT.ENEL_POSITION_DTM;4384
ENELEXT.ENEL_PRODUCTOS_DTM;1543
ENELEXT.ENEL_CONSECUCION_TEMP2_OFV;273
ENELEXT.ENEL_CREDITOS_FINAL_PSVA;7206
ENELEXT.ENEL_TXN_TEMP_CEBP;0
ENELEXT.ENEL_TXN_TEMP_CETVTA;35
ENELEXT.ENEL_ORDER_IMPU_TEMP_CEIS;12
ENELEXT.ENEL_PDS_TEMP_CEIS;3
ENELEXT.ENEL_PREFACTURA_CEIS;10274
ENELEXT.ENEL_MEDIDAS_TEMP_CEIS;441
ENELEXT.ENEL_TXN_TEMP_ALIADO;54
ENELEXT.ENEL_INCEN_TEMP_ALIADO;95
ENELEXT.ENEL_PRODUCTOS_TEMP_ALIADO;315
ENELEXT.ENEL_E4E_NEGATIVOS_ALIADO;18
ENELEXT.ENEL_PREFACT_DETALLE_ALIADO;28045
ENELEXT.ENEL_TXN_TEMP_ALICO;53234
ENELEXT.ENEL_INCEN_TEMP_ALICO;1363
ENELEXT.ENEL_PROVEEDORES_TEMP_ALICO;216
ENELEXT.ENEL_E4E_INF_CCDD;32
ENELEXT.ENEL_COMMI_DTM;64110
ENELEXT.ENEL_E4E_NEGATIVOS_TEMP_CCDD;404
ENELEXT.ENEL_LIQSCAWEB_RENOV_VR;1204
ENELEXT.ENEL_E4E_NEGATIVOS_TEMP_CETF;366
ENELEXT.ENEL_ECO_FINAL_TF;6664
ENELEXT.ENEL_FACTCAT_TVTA_PORTADA;2858
ENELEXT.ENEL_CAT_TVTA_IP_TOTAL;9964
ENELEXT.ENEL_CLASIFICACION_EVENTO_CES;183
ENELEXT.ENEL_GRALPROV_DETALLE_TF;10736
ENELEXT.ENEL_MEDIDAS_FINAL_V_RENTA;751
ENELEXT.ENEL_MEDIDAS_TEMP;163831
ENELEXT.ENEL_PERIODOS_LIQUIDADOS;38
ENELEXT.ENEL_PREFACTURA_CETF;10275
ENELEXT.ENEL_COMP_E4E_CETF;234
ENELEXT.ENEL_CREDIT_TEMP_OFV;3372973
ENELEXT.ENEL_TF_APROVISIONAMIENTO;0
ENELEXT.ENEL_CRECIMIENTO_TEMP_OFV;184
ENELEXT.ENEL_MEDIDAS_TEMP_OFV;12353
ENELEXT.ENEL_TM6_MENSUAL;10248
ENELEXT.ENEL_FICHERO_ORDTXNCRED;0
ENELEXT.ENEL_DEPOSIT_CTAS_CES;40
ENELEXT.ENEL_INFORME_TRANSACCION;21348
ENELEXT.ENEL_TM12_ALIADOS;11998
ENELEXT.ENEL_LIQSCAWEB_FINAL_LEADS_WBE_TF_FINAL;57
ENELEXT.ENEL_LIQSCAWEB_FINAL_LEADS_WBE_CAT_TVTA;1
ENELEXT.ENEL_E4E_DEPOSIT_TF_TEMP;26
ENELEXT.ENEL_E4E_INF;632
ENELEXT.ENEL_E4E_DEPOSIT_CCDD_TEMP;12
ENELEXT.ENEL_EQUIPAMIENTO_DTM;557
ENELEXT.ENEL_EQUIPAMIENTO_TEMP_CETVTA;493
ENELEXT.ENEL_ANDROMEDA_INF;0
ENELEXT.ENEL_CAT_TVTA_AM_TEMP;0
ENELEXT.ENEL_LIQSCAWEB_INF;8685
ENELEXT.ENEL_OPERACIONES_TEMP;90
ENELEXT.ENEL_PDS_TEMP_CEBP;47
ENELEXT.ENEL_PDS_TEMP_CESP;5
ENELEXT.ENEL_DEPOSIT_TEMP_CCDD;44
ENELEXT.ENEL_PROVEEDORES_TEMP_OFV;395
ENELEXT.ENEL_CONTRATOS_DTM;25885
ENELEXT.ENEL_CREDIT_TEMP_CEBP;0
ENELEXT.ENEL_COMMISSION_TEMP_CESP;2
ENELEXT.ENEL_REGISTROS_COMMISSION_CES;180
ENELEXT.ENEL_DEPOSIT_TEMP_CEIS;11
ENELEXT.ENEL_E4E_DEPOSIT_TEMP_CEIS;10
ENELEXT.ENEL_PROVEEDORES_TEMP_ALIADO;209
ENELEXT.ENEL_E4E_FINAL_ALIADO;690
ENELEXT.ENEL_FICHERO_LIQ_ALIADOS;1
ENELEXT.ENEL_CREDIT_TEMP_ALICO;2
ENELEXT.ENEL_TXN_TEMP_ALICO_V2;0
ENELEXT.ENEL_DEPOSIT_TEMP_PTG;2
